# sample_id    R1_path                                                     R2_path
22_WNV_ABC_S1-3 /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_ABC_S1-3_R1.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_ABC_S1-3_R2.fastq.gz
22_WNV_A_S1     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_A_S1_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_A_S1_L003_R2_001.fastq.gz
22_WNV_B_S2     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_B_S2_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_B_S2_L003_R2_001.fastq.gz
22_WNV_C_S3     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_C_S3_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/22_WNV_C_S3_L003_R2_001.fastq.gz
26_WNV_ABC_S7-9 /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_ABC_S7-9_R1.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_ABC_S7-9_R2.fastq.gz
26_WNV_A_S7     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_A_S7_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_A_S7_L003_R2_001.fastq.gz
26_WNV_B_S8     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_B_S8_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_B_S8_L003_R2_001.fastq.gz
26_WNV_C_S9     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_C_S9_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/26_WNV_C_S9_L003_R2_001.fastq.gz
30_WNV_ABC_S    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_ABC_S_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_ABC_S_L003_R2_001.fastq.gz
30_WNV_A_S13    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_A_S13_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_A_S13_L003_R2_001.fastq.gz
30_WNV_B_S14    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_B_S14_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_B_S14_L003_R2_001.fastq.gz
30_WNV_C_S15    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_C_S15_L003_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/30_WNV_C_S15_L003_R2_001.fastq.gz
Cx-Adult-41     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-41_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-41_R2_001.fastq.gz
Cx-Adult-54     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-54_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-54_R2_001.fastq.gz
Cx-Adult-61     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-61_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-61_R2_001.fastq.gz
Cx-Adult-71     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-71_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-71_R2_001.fastq.gz
Cx-Adult-84     /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-84_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult-84_R2_001.fastq.gz
Cx-adult        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-adult_R1.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-adult_R2.fastq.gz
Cx-Adult        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult_R1.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-Adult_R2.fastq.gz
Cx-L4-48        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-L4-48_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-L4-48_R2_001.fastq.gz
Cx-L4           /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-L4_R1.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-L4_R2.fastq.gz
Cx-pupae        /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-pupae_R1.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-pupae_R2.fastq.gz
Cx-r2           /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-r2_R1.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cx-r2_R2.fastq.gz
Cxt-adult-10    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-10_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-10_R2_001.fastq.gz
Cxt-adult-45-2  /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-45-2_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-45-2_R2_001.fastq.gz
Cxt-adult-45    /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-45_R1_001.fastq.gz /nfs/home/jlamb/Projects/transcriptome/data/raw_reads/Cxt-adult-45_R2_001.fastq.gz
